,0,1,2,3,4,5,6,7
849,Fekkai Technician Colour Conditioner Extended Colour Vibrancy 8.5 oz,$24.00,None,None,None,"['Water/Aqua/Eau', ' Cetearyl Alcohol', ' Cetyl Esters', ' Behentrimonium Chloride', ' Triheptanoin', ' Prunus Insititia Seed Oil', ' Jojoba Esters', ' Cetyl Alcohol', ' Glycerin', ' Helianthus Annuus (Sunflower) Seed Wax', ' Caesalpinia Spinosa Fruit Extract', ' Polyquaternium-113', ' Fragrance/Parfum', ' Panthenol', ' Helianthus Annuus (Sunflower) Sprout Extract', ' Helianthus Annuus (Sunflower) Extract', ' Leontopodium Alpinum Extract', ' Oryza Sativa (Rice) Seed Protein', ' Oryza Sativa (Rice) Bran Extract', ' Oryza Sativa (Rice) Extract', ' Rosmarinus Officinalis (Rosemary) Leaf Extract', ' Guar Hydroxypropyltrimonium Chloride', ' Polyglycerin-3', ' Cetrimonium Chloride', ' Tocopherol', ' Maltodextrin', ' Calcium Gluconate', ' Gluconolactone', ' Sodium Phytate', ' Phytic Acid', ' Potassium Sorbate', ' Sorbic Acid', ' Sodium Benzoate', ' Benzoic Acid', ' Ethylhexylglycerin', ' Caprylyl Glycol', ' Chlorphenesin', ' Phenoxyethanol', ' Benzyl Alcohol', ' Citric Acid', ' Potassium Hydroxide', ' Sodium Metabisulfite', ' C13-16 Isoparaffin', ' Alcohol', ' Limonene', ' Linalool.']",Fekkai,8.5 oz
850,Philip B Hairbrush Cleaner,$30.00,None,None,None,"['Stainless Steel Rake', ' Oak Handle (sourced from non-endangered forests)']",Philip B,None
851,Chantecaille Bebe Wild Moss Rose Body Lotion,$55.00,None,None,None,None,Chantecaille,120ml
852,Phyto Squam Moisturizing Maintenance Shampoo 8.45 fl. oz,$26.00,None,None,None,"['Aqua / Water / Eau', ' Cocamidopropyl Betaine', ' Sodium Lauroyl Sarcosinate', ' Cocamidopropyl Hydroxysultaine', ' Glycerin', ' Polyacrylate-33', ' Sodium Chloride', ' Disodium Cocoamphodiacetate', ' Triethanolamine', ' Glycol Distearate', ' Citric Acid', ' Sucrose Cocoate', ' Butylene Glycol', ' Capryloyl Glycine', ' Polyquaternium-22', ' Propanediol', ' Coco-Glucoside', ' Laureth-4', ' Glyceryl Oleate', ' Tamarindus Indica Fruit Extract', ' Panthenol', ' Coconut Acid', ' Sodium Benzoate', ' Potassium Sorbate', ' Taraktogenos Kurzii Seed Oil', ' Guar Hydroxypropyltrimonium Chloride', ' Sodium Lauroyl Lactylate', ' Sodium Caproyl Lactylate', ' Styrene/Acrylates Copolymer', ' Ictasol', ' Melaleuca Alternifolia (Tea Tree) Leaf Oil', ' Sodium Phytate', ' Juniperus Oxycedrus Wood Oil', ' Melaleuca Leucadendron Cajaput Oil', ' Rosmarinus Officinalis (Rosemary) Leaf Oil', ' Symphytum Officinale Root Extract', ' Aloe Barbadensis Leaf Juice Powder', ' Piper Nigrum (Pepper) Fruit Extract', ' Mentha Piperita (Peppermint) Oil', ' Benzoic Acid', ' Sophora Japonica Flower Extract', ' Inga Alba Bark Extract', ' Tocopherol', ' Hydrogenated Palm Glycerides Citrate', ' Lecithin', ' Ascorbyl Palmitate', ' Limonene', ' 882B.']",Phyto,8.45 fl. oz
853,Fekkai Technician Colour Shampoo Extended Colour Vibrancy 8.5 oz,$24.00,None,None,None,"['Water/Aqua/Eau', ' Sodium Cocoyl Isethionate', ' Sodium Lauroyl Methyl Isethionate', ' Lauryl Glucoside', ' Coconut Acid', ' Acrylates Copolymer', ' Disteareth-75 Ipdi', ' Sunflower Seed Oil Glycereth-8 Esters', ' Prunus Insititia Seed Oil', ' Glycol Distearate', ' Glycerin', ' Polyglyceryl-3 Laurate', ' Sodium Isethionate', ' Polyquaternium-113', ' Fragrance/Parfum', ' Panthenol', ' Caesalpinia Spinosa Fruit Extract', ' Leontopodium Alpinum Extract', ' Oryza Sativa (Rice) Seed Protein', ' Oryza Sativa (Rice) Bran Extract', ' Oryza Sativa (Rice) Extract', ' Helianthus Annuus (Sunflower) Sprout Extract', ' Helianthus Annuus (Sunflower) Extract', ' Rosmarinus Officinalis (Rosemary) Leaf Extract', ' Guar Hydroxypropyltrimonium Chloride', ' Tocopherol', ' Maltodextrin', ' Calcium Gluconate', ' Gluconolactone', ' Sodium Phytate', ' Phytic Acid', ' Potassium Sorbate', ' Sodium Benzoate', ' Ethylhexylglycerin', ' Caprylyl Glycol', ' Chlorphenesin', ' Phenoxyethanol', ' Trisodium Ethylenediamine Disuccinate', ' Benzyl Alcohol', ' Citric Acid', ' Potassium Hydroxide', ' Sodium Metabisulfite', ' Alcohol', ' Limonene', ' Linalool.']",Fekkai,8.5 oz
854,KLORANE Nourishing Shampoo with Ylang-Ylang Wax 3.3fl.oz,$10.00,2.0,1,None,"['Water (Aqua)', ' Sodium Laureth Sulfate', ' Coco-Glucoside', ' Lauryl Betaine', ' Decyl Glucoside', ' Acrylates Copolymer', ' Glycol Distearate', ' Ascorbyl Palmitate', ' Cananga Odorata Flower Wax (Cananga Odorata Flower Cera)', ' Caramel', ' Citric Acid', ' Fragrance (Parfum)', ' Glycerin', ' Glyceryl', ' Oleate', ' Hydrogenated Palm Glycerides Citrate', ' Hydroxypropyl Guar Hydroxypropyltrimonium Chloride', ' Lecithin', ' Oleth-10', ' Phenoxyethanol', ' Sodium Benzoate', ' Sodium Chloride', ' Sodium Hydroxide', ' Tocopherol', ' Tocopheryl Acetate', ' Yellow 5 (CI 19140)', ' Yellow 6 (CI 15985).']",KLORANE,3.3 fl. oz
855,WetBrush Go Green Treatment And Shine - Tea Tree Oil,$17.99,None,None,None,None,WetBrush,None
856,KLORANE Shampoo with Chamomile 13.5oz,$20.00,None,None,None,"['Apply to wet hair. Work into a lather and then rinse. In case of contact with eyes', ' rinse thoroughly. Do not use in children under the age of 3.']",KLORANE,13.5oz
857,ghd Mini Paddle Brush,$25.00,None,None,None,None,ghd,16g
858,VIRTUE 6-in-1 Styling Paste 150ml,$38.00,None,None,None,"['Aqua (Water', ' Eau)', ' Isohexadecane', ' Cetearyl Alcohol', ' Bis-Diglyceryl Polyacyladipate-2', ' Ceresin', ' Glycerin', ' Candelilla Cera (Euphorbia Cerifera (Candelilla) Wax', ' Cire de Candelilla)', ' VP/VA Copolymer', ' Tribehenin', ' PEG-25 Hydrogenated Castor Oil', ' Kaolin', ' Caprylic/Capric Triglyceride', ' Butylene Glycol', ' Keratin', ' Panthenol', ' Pullulan', ' Hydrolyzed Quinoa', ' Hydrolyzed Adansonia Digitata Seed Extract', ' Salvia Hispanica Seed Extract', ' Xylitol', ' Trehalose', ' Hydrolyzed Pea Protein', ' Oryza Sativa (Rice) Seed Protein', ' Helianthus Annuus (Sunflower) Seed Oil', ' Citrus Paradisi (Grapefruit) Fruit Extract', ' Phytic Acid', ' Oryza Sativa (Rice) Extract', ' Tocopheryl Acetate', ' Butyrospermum Parkii (Shea) Butter Unsaponifiables', ' Helianthus Annuus (Sunflower) Sprout Extract', ' Calcium Gluconate', ' Ascorbyl Palmitate', ' Galactoarabinan', ' Tocopherol', ' Caesalpinia Spinosa Fruit Extract', ' Camellia Sinensis Leaf Extract', ' Sclerotium Gum', ' Soybean Glycerides', ' Ethyl Linoleate', ' Ethyl Oleate', ' Sorbitan Oleate', ' Gluconolactone', ' Glyceryl Isostearate', ' Caprylic Acid', ' Ethylhexylglycerin', ' Caprylyl Glycol', ' Sodium Polyitaconate', ' Steareth-20', ' PEG-150 Stearate', ' Xanthan Gum', ' Caprylyl/Capryl Glucoside', ' Lecithin', ' Maltodextrin', ' Polyquaternium-59', ' Laurtrimonium Chloride', ' Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate', ' Sodium Bisulfite', ' Silica', ' Triethoxycaprylylsilane', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Polysorbate 60', ' Polyquaternium-37', ' Parfum (Fragrance)', ' Phenoxyethanol', ' Chlorphenesin', ' Benzyl Alcohol', ' Sodium Benzoate', ' Citric Acid', ' Potassium Sorbate', ' Sodium Hydroxide', ' Disodium EDTA', ' Sodium Phosphate', ' Linalool', ' Benzyl Salicylate', ' Hydroxycitronellal', ' Limonene', ' Geraniol', ' Citronellol', ' Citral', ' CI 77492 (Iron Oxides).']",VIRTUE,150ml
859,AMELIORATE Transforming Scalp Serum 125ml,$20.25,None,None,None,"['Aqua/Water/Eau', ' Ammonium Lactate*', ' Caprylic/Capric Triglyceride', ' Dipropylene Glycol', ' Propylene Glycol', ' Isostearyl Alcohol', ' Butylene Glycol Cocoate', ' Avena Sativa (Oat) Kernel Oil', ' Polyacrylate Crosspolymer-6', ' Phenoxyethanol', ' Camelina Sativa (Gold of Pleasure) Seed Oil', ' Borago Officinalis (Starflower) Seed Oil', ' Boswellia Serrata (Indian Frankincense) Gum', ' Sodium Benzoate', ' Glycerin', ' Xanthan Gum', ' Ethylcellulose', ' Pentylene Glycol', ' Potassium Sorbate', ' Disodium EDTA', ' Hydrolyzed Milk Protein', ' Piroctone Olamine', ' Lactic Acid', ' Serine', ' Sodium Lactate', ' Sorbitol', ' Urea', ' Saccharomyces/Zinc Ferment', ' Saccharomyces/Copper Ferment', ' Saccharomyces/Iron Ferment', ' Saccharomyces/Magnesium Ferment', ' Saccharomyces/Silicon Ferment', ' Leuconostoc/Radish Root Ferment Filtrate', ' T-Butyl Alcohol', ' Citric Acid', ' Sodium Chloride', ' Allantoin', ' Apium Graveolens (Celery) Seed Extract', ' Sodium Hydroxide', ' Tocopherol. *From Lactic Acid.']",AMELIORATE,125ml
860,Curlsmith Full Lengths Density Elixir 59ml,$39.00,None,None,None,"['Water (Aqua)', ' Propanediol', ' Glycerin', ' Larix Europaea (Larch Tree) Wood Extract', ' Glycine Soja (Soybean) Germ Extract', ' Pisum Sativum (Pea) Sprout Extract', ' Scutellaria Baicalensis (Chinese Skullcap) Root Extract', ' Camellia Sinensis (Green Tea) Leaf Extract', ' Phyllanthus Emblica (Amla) Fruit Extract', ' Hamamelis Virginiana (Witch Hazel) Leaf Extract', ' Lavandula Angustifolia (Lavender) Flower Extract*', ' Thymus Vulgaris (Thyme) Leaf Extract*', ' Cedrus Atlantica (Cedarwood) Bark Extract', ' Peg-40 Hydrogenated Castor Oil', ' Trifolium Pratense (Clover) Flower Extract', ' Triticum Vulgare (Wheat) Germ Extract', ' Sodium Citrate', ' Citric Acid', ' Butylene Glycol', ' Glycine', ' Arginine', ' Ppg-26-Buteth-26', ' Gluconolactone', ' Dextran', ' Apigenin', ' Acetyl Tetrapeptide-3', ' Oleanolic Acid', ' Biotinoyl Tripeptide-1', ' Calcium Gluconate', ' Sodium Benzoate', ' Potassium Sorbate', ' Zinc Chloride', ' Sodium Metabisulfite', ' Lactic Acid', ' Phenoxyethanol.']",Curlsmith,2oz
861,Curlsmith Bond Curl Rehab Salve 237ml,$29.00,None,None,None,"['Water (Aqua)', ' Cetearyl Alcohol', ' Salvia Hispanica (Chia) Seed Extract', ' Creatine', ' Polyquaternium-10', ' Stearamidopropyl Dimethylamine', ' Lentinus Edodes (Shiitake) Extract*', ' Opuntia Tuna (Prickly Pear) Fruit Extract', ' Cucurbita Pepo (Pumpkin) Seed Extract*', ' Psidium Guajava (Guava) Fruit Extract', ' Prunus Amygdalus Dulcis (Sweet Almond) Oil', ' Ribes Nigrum (Blackcurrant) Fruit Extract', ' Brassica Oleracea Acephala (Kale) Leaf Extract', ' Leuconostoc/Radish Root Ferment Filtrate', ' Polyquaternium-37', ' Hydroxypropylgluconamide', ' Hydroxypropylammonium Gluconate', ' Disodium Edta', ' Potassium Sorbate', ' Tartaric Acid', ' Citric Acid', ' Ethylhexylglycerin', ' Glycerin', ' Behentrimonium Chloride', ' Phenoxyethanol', ' Sodium Benzoate', ' Benzyl Alcohol', ' Geraniol', ' Fragrance (Parfum)', ' Linalool', ' Limonene.']",Curlsmith,237ml
862,Nioxin Scalp Recovery Soothing Serum 3.38 fl.oz,$39.00,None,None,None,"['Active ingredient pyrithione zinc 0.1%. Inactive ingredients: Water/Eau', ' Cetyl Alcohol', ' Stearamidopropyl Dimethylamine', ' Stearyl Alcohol', ' Hydroxyethylcellulose', ' Quaternium-18', ' Benzyl Alcohol', ' Phenoxyethanol', ' PEG-2M', ' Dimethicone', ' Parfum/Fragrance', ' Cetearyl Alcohol', ' Methylparaben', ' Glyceryl Stearate', ' Oleyl Alcohol', ' Citric Acid', ' Propylene Glycol', ' Polysorbate 60', ' Mentha Piperita (Peppermint) Oil', ' Mentha Arvensis Leaf Oil', ' Menthol', ' Camellia Sinensis Leaf Extract', ' Silica', ' Sodium Polynaphthalenesulfonate', ' Yeast Extract/Extrait de levure', ' Biotin', ' Lecithin', ' Niacinamide', ' Panthenol', ' Tocopheryl Acetate', ' DMDM Hydantoin', ' Maltodextrin', ' Ethoxydiglycol', ' Cellulose Gum', ' BHT', ' Propylparaben', ' Glucose', ' Lactic Acid', ' Sodium Benzoate', ' Achillea Millefolium Extract', ' Potassium Sorbate', ' Rosmarinus Officinalis (Rosemary) Leaf Extract', ' Urtica Dioica (Nettle) Extract', ' Salvia Officinalis (Sage) Leaf Extract', ' Equisetum Arvense Extract', ' Betula Alba Leaf Extract', ' Calcium Pantothenate', ' Inositol', ' Caramel', ' Tartaric Acid.']",Nioxin,3.38 fl.oz
863,Sebastian Professional Dark Hair Styling Oil 95ml,$48.00,None,None,None,"['Cyclopentasiloxane', ' Dimethiconol', ' Isododecane', ' Parfum/Fragrance', ' Argania Spinosa Kernel Oil', ' Ethylhexyl Methoxycinnamate', ' Hexyl Cinnamal', ' Coumarin', ' Citronellol', ' Juniperus Mexicana Oil', ' Linalool', ' Limonene', ' Fusanus Spicatus Wood Oil', ' Eugenol', ' Farnesol', ' Geraniol', ' Benzyl Salicylate.']",Sebastian Professional,95ml
864,Grow Gorgeous Volume Collection,$55.30,None,None,None,"['Primer:\xa0Aqua/Water/Eau', ' Ethoxydiglycol', ' Fragrance (Parfum)', ' Caffeine', ' Polyacrylate Crosspolymer-6', ' Dimethyl Isosorbide', ' Tocopheryl Acetate', ' Phenoxyethanol', ' Avena Sativa (Oat) Kernel Oil', ' Menthol', ' Linalool', ' Disodium EDTA', ' Hydrolyzed Rice Protein', ' Menthyl Lactate', ' Sodium PCA', ' Sodium Lactate', ' Chlorphenesin', ' Allantoin', ' Rosmarinus Officinalis (Rosemary) Leaf Oil', ' Arginine', ' Glycerin', ' Aspartic Acid', ' PCA', ' T-Butyl Alcohol', ' Glycine', ' Alanine', ' Citric Acid', ' Ahnfeltia Concinna (Red Algae) Extract', ' Serine', ' Valine', ' Rhizobian Gum', ' Sodium Hyaluronate', ' Isoleucine', ' Proline', ' Threonine', ' Potassium Sorbate', ' Histidine', ' Phenylalanine', ' Sodium Benzoate', ' Caprylyl Glycol', ' Sodium Hydroxide', ' Urea', ' Hexylene Glycol', ' Disodium Phosphate', ' Biotin.']",Grow Gorgeous,2 x 150ml / 2 x 150ml
865,Grow Gorgeous Sensitive Collection,$44.80,None,None,None,"['Sensitive Micellar Shampoo: Aqua/Water/Eau', ' Sodium Cocoyl Isethionate', ' Sodium Methyl Cocoyl Taurate', ' Cocamidopropyl Betaine', ' Sodium Chloride', ' Coconut Acid', ' Lauryl Glucoside', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Saccharomyces/Rice Ferment Filtrate', ' Sodium Benzoate', ' Glycerin', ' Plukenetia Volubilis Seed Oil', ' Potassium Sorbate', ' Disodium EDTA', ' Lysine', ' Sodium Isethionate', ' Polyquaternium-10', ' Sodium PCA', ' Sodium Lactate', ' Allantoin', ' Avena Sativa (Oat) Kernel Oil', ' Arginine', ' Aspartic Acid', ' PCA', ' Butylene Glycol', ' Glycine', ' Opuntia Ficus-Indica Stem Extract', ' Alanine', ' 1', '2-Hexanediol', ' Phenoxyethanol', ' Serine', ' Valine', ' Isoleucine', ' Proline', ' Threonine', ' Histidine', ' Phenylalanine', ' Citric Acid', ' Centella Asiatica Extract', ' Sodium Hydroxide.']",Grow Gorgeous,2 x 250ml / Mask: 200ml
866,Grow Gorgeous Sensitive Ceramide Rich Hair and Scalp Mask 200ml,$21.00,3.0,1,None,"['Aqua/Water/Eau', ' Glycerin', ' C15-19 Alkane', ' Propylene Glycol', ' Butyrospermum Parkii (Shea) Butter', ' Caprylic/Capric Triglyceride', ' Olus Oil/Vegetable Oil/Huile Végétale', ' Saccharomyces/Rice Ferment Filtrate', ' Sodium Polyacrylate', ' Agave Americana Leaf Extract', ' Saccharomyces Cerevisiae Extract', ' Sodium Stearoyl Glutamate', ' Avena Sativa (Oat) Kernel Oil', ' Olea Europaea (Olive) Fruit Oil', ' Ricinus Communis (Castor) Seed Oil', ' Sodium Benzoate', ' Potassium Sorbate', ' Sodium PCA', ' Sodium Lactate', ' Allantoin', ' Disodium EDTA', ' Xanthan Gum', ' Arginine', ' Phenoxyethanol', ' Butylene Glycol', ' Tocopherol', ' Aspartic Acid', ' Ceramide NG', ' Opuntia Ficus-Indica Stem Extract', ' PCA', ' Leuconostoc/Radish Root Ferment Filtrate', ' Biosaccharide Gum-1', ' 1', '2-Hexanediol', ' Helianthus Annuus (Sunflower) Seed Oil', ' Glycine', ' Alanine', ' Citric Acid', ' Serine', ' Valine', ' Isoleucine', ' Proline', ' Threonine', ' Histidine', ' Phenylalanine', ' Centella Asiatica Extract', ' Sodium Hydroxide.']",Grow Gorgeous,200ml
867,Klorane Rich Restorative Conditioner with Ylang-Ylang Wax 6.7fl.oz,$20.00,None,None,None,"['Water (Aqua)', ' Ethylhexyl Palmitate', ' Glycol Palmitate', ' Behenamidopropyl Dimethylamine', ' Cetearyl Alcohol', ' Behenyl Alcohol', ' Glycerin', ' Butyrospermum Parkii (Shea) Butter (Butyrospermum Parkii Butter)', ' Tocopheryl Acetate', ' Arginine HCL', ' Cananga Odorata Flower Wax (Cananga Odorata Flower Cera)', ' Cetearyl Glucoside', ' Citric Acid', ' Fragrance (Parfum)', ' Glycine Soja (Soybean) Seedcake Extract (Glycine Soja Seedcake Extract)', ' Guar Hydroxypropyltrimonium Chloride', ' Hydrolyzed Wheat Protein', ' Iron Oxides (CI 77491)', ' Lactic Acid', ' Lysine HCL', ' MICA', ' Phenoxyethanol', ' Propylene Glycol', ' Sodium Benzoate', ' Titanium Dioxide (CI 77891).']",KLORANE,6.7 fl. oz
868,KLORANE 3-in-1 Mask with Organic Cupuaçu Butter 5 oz,$28.00,None,None,None,"['Water (Aqua)', ' Glycol Palmitate', ' Behenyl Alcohol', ' Caprylic/Capric Triglyceride', ' Cocos Nucifera (Coconut) Oil (Cocos Nucifera Oil)', ' Theobroma Grandiflorum Seed Butter', ' Behenamidopropyl Dimethylamine', ' Dicaprylyl Carbonate', ' Cetearyl Alcohol', ' Betaine', ' Glycerin', ' 1', '2-Hexanediol', ' Benzoic Acid', ' Caramel', ' Cetearyl Glucoside', ' Citric Acid', ' Fragrance (Parfum)', ' Helianthus Annuus (Sunflower) Seed Oil (Helianthus Annuus Seed Oil)', ' Lactic Acid', ' Tocopherol']",KLORANE,5oz
869,Bouclème Curl Conditioner 300ml,$28.00,None,None,None,"['Aqua', ' Cetearyl Alcohol', ' Glycerin (Vegetable)', ' Polyglyceryl-3 Dicitrate/Stearate', ' Cocos Nucifera (Virgin Coconut) Oil', ' Argania\xa0Spinosa (Argan) Oil', ' Benzyl Alcohol', ' Distearoylethyl Dimonium Chloride', ' Methylcellulose', ' Linum Usitatissimum (Linseed) Seed', ' Guar\xa0Hydroxypropyltrimonium Chloride', ' Hydroxymethylcellulose', ' Dehydroacetic Acid', ' Punica Granatum (Pomegranate) Extract', ' Aloe Barbadensis\xa0(Aloe Vera) Leaf Extract', ' Propanediol', ' *Litsea Cubeba (May Chang) Flower Oil', ' *Citrus Grandis (Grapefruit) Peel Oil', ' *Citrus\xa0Reticulata (Mandarin Red) Peel Oil', ' *Citrus Aurantium Dulcis (Sweet Orange) Peel Oil', ' *Citrus Aurantium Bergamia (Bergamot) Fruit\xa0Oil', ' * Origanum Majorana (Marjoram Sweet) Leaf Oil', ' *Rosmarinus Officinalis (Rosemary) Leaf Oil', ' *Mentha Viridis (Spearmint) Leaf\xa0Oil', ' *Pogostemon Cablin (Patchouli) Leaf Oil', ' *Michelia Alba (Magnolia) Flower Oil', ' *Michelia Alba (Magnolia) Leaf Oil', ' *Cymbopogon\xa0Martini (Palmarosa) Leaf Oil', ' Styrax Tonkinensis (Benzoin) Resin Extract', ' *Tilia Cordata (Linden) Flower Oil', ' **Limonene **Linalool\xa0**Geraniol. *natural pure essential oils **potential allergens.']",Boucleme,300ml
870,Bouclème Intensive Moisture Treatment 250ml,$36.00,None,None,None,"['Aqua', ' Cetearyl Alcohol', ' Coco Caprylate', ' Glycerin (Vegetable)', ' Brassicyl Isoleucinate Esylate', ' Guar Hydroxypropyltrimonium Chloride', ' Sclerocarya Birrea (Marula) Seed Oil', ' Trichilia Emetica (Mafura) Seed Butter', ' Opuntia Ficus-Indica (Prickly Pear) Seed Oil', ' Hippophae Rhamnoides (Seabuckthorn) Seed Oil', ' Camellia Oleifera Seed Oil', ' Triticum Vulgare (Wheat) Bran Extract', ' *Pogostemon Cablin (Patchouli) Leaf Oil', ' *Rosa Centifolia (Rose Absolute) Flower Oil', ' *Pelargonium Roseum (Rose Geranium) Leaf Oil', ' *Cananga Odorata (Ylang Ylang) Flower Oil', ' *Elettaria Cardamomum (Cardamom) Seed Oil *Lavandula Angustifolia (Lavender) Flower Oil', ' *Michelia Alba (Magnolia) Flower Oil', ' *Juniperus Virginiana (Cedarwood) Wood Oil', ' *Citrus Nobilis (Mandarin Red) Peel Oil', ' *Cymbopogon Martini (Palmarosa) Leaf Oil', ' *Coriandrum Sativum (Coriander) Seed Oil', ' *Mentha Viridis (Spearmint) Leaf Oil', ' Styrax Tonkinensis (Benzoin) Resin Extract', ' Phenyl Ethyl Alcohol (Natural)', ' Hydroxypropyltrimonium Honey', ' Tocopherol', ' Sorbic Acid', ' Linoleic Acid', ' Brassica Alcohol', ' Distearoylethyl Dimonium Chloride', ' Diheptyl Succinate', ' Capryloyl Glycerin/Sebacic Acid Copolymer', ' Cetearyl Nonanoate', ' Ethylhexyl Isononanoate', ' Pentylene Glycol', ' Benzyl Alcohol', ' Dehydroacetic Acid', ' Hydroxyacetophenone', ' **Linalool', ' **Geraniol', ' **Citronellol', ' **Limonene', ' *Natural Pure Essential Oils **Potential Allergens.']",Boucleme,250ml
871,Christophe Robin Shade Variation Mask - Warm Chestnut (8.4oz),$37.10,None,None,None,"['Aqua (Water)', ' Cetearyl Alcohol', ' Cetyl Alcohol', ' Behentrimonium Chloride', ' Glycerin', ' Cetrimonium Chloride', ' Parfum (Fragrance)', ' Mauritia Flexuosa Fruit Oil', ' Ethylhexyl Methoxycinnamate', ' Prunus Amygdalus Dulcis (Sweet Almond) Oil', ' Hydrogenated Vegetable Oil', ' Tocopheryl Acetate', ' Sericin', ' Theobroma Cacao (Cocoa) Seed Butter', ' Sericin', ' Butyrospermum Parkii (Shea) Butter', ' Citric Acid', ' Disodium Edta', ' Potassium Sorbate', ' Sodium Benzoate', ' Ci 12245 (Basic Red 76)', ' Ci 60730 (Acid Violet 43)', '\xa0 Ci 12719 (Basic Yellow 57)', ' Ci 56059 (Basic Blue 99)', ' Ci 12251 (Basic Brown 17)', ' Ci 12250 (Basic Brown 16)', ' Tocopherol', ' BHT.']",Christophe Robin,250ml
872,Christophe Robin Cleansing Volumising Paste with Pure Rassoul Clay and Rose 75ml,$13.30,4.0,1,None,"['Moroccan Lava Clay', ' Sucrose', ' Ammonium Lauryl Sulfate', ' Aqua (Water)', ' Butylene Glycol', ' Cocamide Mea', ' Glyceryl Stearate', ' Peg-100 Stearate', ' Hydrated Silica', ' Rosa Centifolia Flower Water', ' Parfum (Fragrance)', ' Phenoxyethanol', ' Peg-2 Dimeadowfoamamidoethylmonium Methosulfate', ' Hexylene Glycol', ' Hydrolyzed Adansonia Digitata Extract', ' Glycerin', ' Sodium Benzoate', ' Potassium Sorbate', ' Rosa Gallica Flower Extract', ' Carbomer', ' Citronellol', ' Geraniol', ' Benzyl Alcohol.']",Christophe Robin,75ml
873,Grow Gorgeous Balance pH-Balanced Conditioner 250ml,$12.60,None,None,None,"['Aqua/Water/Eau', ' Cetearyl Alcohol', ' Fragrance (Parfum)', ' Stearamidopropyl Dimethylamine', ' Behentrimonium Chloride', ' Prunus Amygdalus Dulcis (Sweet Almond) Oil', ' Phenoxyethanol', ' PEG-100 Stearate', ' Glyceryl Stearate', ' Avena Sativa (Oat) Kernel Oil', ' Lactic Acid', ' Butyrospermum Parkii (Shea) Butter', ' Isopropyl Alcohol', ' Caffeine', ' Disodium EDTA', ' Glycerin', ' Sodium PCA', ' Sodium Lactate', ' Allantoin', ' Butylene Glycol', ' Chlorphenesin', ' Hydrolyzed Rice Protein', ' Panthenol', ' Arginine', ' Panthenyl Hydroxypropyl Steardimonium Chloride', ' Aspartic Acid', ' PCA', ' Arctium Lappa (Burdock) Root Extract', ' Hedera Helix (Ivy) Extract', ' Trigonella Foenum-Graecum (Fenugreek) Seed Extract', ' Butylphenyl Methylpropional', ' Limonene', ' Linalool', ' Glycine', ' Alanine', ' Serine', ' Valine', ' Isoleucine', ' Proline', ' Threonine', ' Potassium Sorbate', ' Histidine', ' Phenylalanine', ' Citric Acid', ' Sodium Hydroxide.']",Grow Gorgeous,250ml
874,Philip Kingsley Mini Radial Brush,$29.00,None,None,None,None,Philip Kingsley,None
875,this works Stress Check Hair Elixir 80ml,$46.00,5.0,1,None,"['Alcohol Denat. (SD Alcohol 40-B)', ' Aqua (Water/Eau)', ' Parfum (Fragrance)', ' Linalool*', ' Phospholipids', ' Betaine', ' Creatine', ' Panthenyl Ethyl Ether', ' Helianthus Annuus (Sunflower) Seed Oil', ' Glycerin', ' Citrus Aurantium (Neroli) Flower Oil', ' Allantoin', ' Callophyllum Inophyllum (Tamanu) Seed Oil', ' Disodium EDTA', ' Phytantriol', ' Schinziophyton Rautanenii Kernel Oil', ' Tocopheryl Acetate', ' Raphanus Sativus (Radish) Seed Extract', ' Cinnamomum Camphora Linalooliferum Wood Oil', ' Citrus Aurantium Amara (Bitter Orange) Flower Oil', ' Lavandula Angustifolia (Lavender) Oil', ' Ormenis Multicaulis (Chamomile) Oil', ' Pogostemon Cablin (Patchouli) Leaf Oil', ' Vetiveria Zizanoides (Vetivert) Root Oil', ' Acacia Senegal Gum', ' Gelatin', ' Xanthan Gum', ' Limonene*', ' Rhodiola Rosea Root Extract', ' Acetic Acid', ' Glutaral', ' Phenoxyethanol', ' Potassium Sorbate', ' Citronellol*', ' Sodium Hydroxide', ' Rosmarinus Officinalis (Rosemary) Leaf Extract.']",this works,80ml
